Date,Open,High,Low,Close*,Adj_Close,Volume
2000/1/1,1469.25 ,1478.00 ,1350.14 ,1394.46 ,1394.46 ,21494400000.00 
2000/2/1,1394.46 ,1444.55 ,1325.07 ,1366.42 ,1366.42 ,20912000000.00 
2000/3/1,1366.42 ,1552.87 ,1346.62 ,1498.58 ,1498.58 ,26156200000.00 
2000/4/1,1498.58 ,1527.19 ,1339.40 ,1452.43 ,1452.43 ,20106460000.00 
2000/4/30,1452.43 ,1481.51 ,1361.09 ,1420.60 ,1420.60 ,19898300000.00 
2000/5/31,1420.60 ,1488.93 ,1420.60 ,1454.60 ,1454.60 ,21738300000.00 
2000/6/30,1454.60 ,1517.32 ,1413.89 ,1430.83 ,1430.83 ,19089100000.00 
2000/7/31,1430.83 ,1525.21 ,1425.43 ,1517.68 ,1517.68 ,20363700000.00 
2000/8/31,1517.68 ,1530.09 ,1419.44 ,1436.51 ,1436.51 ,20838300000.00 
2000/9/30,1436.52 ,1454.82 ,1305.79 ,1429.40 ,1429.40 ,25951400000.00 
2000/11/1,1429.40 ,1438.46 ,1294.90 ,1314.95 ,1314.95 ,20532300000.00 
2000/12/1,1314.95 ,1389.05 ,1254.07 ,1320.28 ,1320.28 ,23610800000.00 
2001/1/1,1320.28 ,1383.37 ,1274.62 ,1366.01 ,1366.01 ,27829800000.00 
2001/2/1,1366.01 ,1376.38 ,1215.44 ,1239.94 ,1239.94 ,21644400000.00 
2001/3/1,1239.94 ,1267.42 ,1081.19 ,1160.33 ,1160.33 ,27806610000.00 
2001/4/1,1160.33 ,1269.30 ,1091.99 ,1249.46 ,1249.46 ,25409990000.00 
2001/4/30,1249.46 ,1315.93 ,1232.00 ,1255.82 ,1255.82 ,24525900000.00 
2001/5/31,1255.82 ,1286.62 ,1203.03 ,1224.38 ,1224.38 ,24748030000.00 
2001/6/30,1224.42 ,1239.78 ,1165.54 ,1211.23 ,1211.23 ,23793710000.00 
2001/7/31,1211.23 ,1226.27 ,1124.87 ,1133.58 ,1133.58 ,23359200000.00 
2001/8/31,1133.58 ,1155.40 ,944.75 ,1040.94 ,1040.94 ,25025290000.00 
2001/9/30,1040.94 ,1110.61 ,1026.76 ,1059.78 ,1059.78 ,29951280000.00 
2001/11/1,1059.78 ,1163.38 ,1054.31 ,1139.45 ,1139.45 ,26330000000.00 
2001/12/1,1139.45 ,1173.62 ,1114.53 ,1148.08 ,1148.08 ,25128570000.00 
2002/1/1,1148.08 ,1176.97 ,1081.66 ,1130.20 ,1130.20 ,29746200000.00 
2002/2/1,1130.20 ,1130.20 ,1074.36 ,1106.73 ,1106.73 ,26047600000.00 
2002/3/1,1106.73 ,1173.94 ,1106.73 ,1147.39 ,1147.39 ,26563200000.00 
2002/4/1,1147.39 ,1147.84 ,1063.46 ,1076.92 ,1076.92 ,28568900000.00 
2002/4/30,1076.92 ,1106.59 ,1048.96 ,1067.14 ,1067.14 ,26905500000.00 
2002/5/31,1067.14 ,1070.74 ,952.92 ,989.82 ,989.82 ,29981510000.00 
2002/6/30,989.82 ,994.46 ,775.68 ,911.62 ,911.62 ,42228720000.00 
2002/7/31,911.62 ,965.00 ,833.44 ,916.07 ,916.07 ,29298400000.00 
2002/8/31,916.07 ,924.02 ,800.20 ,815.28 ,815.28 ,27723710000.00 
2002/9/30,815.28 ,907.44 ,768.63 ,885.76 ,885.76 ,37856310000.00 
2002/11/1,885.76 ,941.82 ,872.05 ,936.31 ,936.31 ,29200960000.00 
2002/12/1,936.31 ,954.28 ,869.45 ,879.82 ,879.82 ,25993640000.00 
2003/1/1,879.82 ,935.05 ,840.34 ,855.70 ,855.70 ,30749580000.00 
2003/2/1,855.70 ,864.64 ,806.29 ,841.15 ,841.15 ,25235300000.00 
2003/3/1,841.15 ,895.90 ,788.90 ,848.18 ,848.18 ,30080030000.00 
2003/4/1,848.18 ,924.24 ,847.85 ,916.92 ,916.92 ,29669610000.00 
2003/4/30,916.92 ,965.38 ,902.83 ,963.59 ,963.59 ,30952100000.00 
2003/5/31,963.59 ,1015.33 ,963.59 ,974.50 ,974.50 ,31219400000.00 
2003/6/30,974.50 ,1015.41 ,962.10 ,990.31 ,990.31 ,31553200000.00 
2003/7/31,990.31 ,1011.01 ,960.84 ,1008.01 ,1008.01 ,24881470000.00 
2003/8/31,1008.01 ,1040.29 ,990.36 ,995.97 ,995.97 ,29940110000.00 
2003/9/30,995.97 ,1053.79 ,995.97 ,1050.71 ,1050.71 ,32298500000.00 
2003/11/1,1050.71 ,1063.65 ,1031.20 ,1058.20 ,1058.20 ,24463220000.00 
2003/12/1,1058.20 ,1112.56 ,1053.41 ,1111.92 ,1111.92 ,27839130000.00 
2004/1/1,1111.92 ,1155.38 ,1105.08 ,1131.13 ,1131.13 ,32820000000.00 
2004/2/1,1131.13 ,1158.98 ,1124.44 ,1144.94 ,1144.94 ,27985600000.00 
2004/3/1,1144.94 ,1163.23 ,1087.16 ,1126.21 ,1126.21 ,33597900000.00 
2004/4/1,1126.21 ,1150.57 ,1107.23 ,1107.30 ,1107.30 ,31611900000.00 
2004/4/30,1107.30 ,1127.74 ,1076.32 ,1120.68 ,1120.68 ,29326400000.00 
2004/5/31,1120.68 ,1146.34 ,1113.32 ,1140.84 ,1140.84 ,27529500000.00 
2004/6/30,1140.84 ,1140.84 ,1078.78 ,1101.72 ,1101.72 ,29285600000.00 
2004/7/31,1101.72 ,1109.68 ,1060.72 ,1104.24 ,1104.24 ,26586800000.00 
2004/8/31,1104.24 ,1131.54 ,1099.18 ,1114.58 ,1114.58 ,26829870000.00 
2004/9/30,1114.58 ,1142.05 ,1090.29 ,1130.20 ,1130.20 ,31511000000.00 
2004/11/1,1130.20 ,1188.46 ,1127.60 ,1173.82 ,1173.82 ,30460280000.00 
2004/12/1,1173.78 ,1217.33 ,1173.78 ,1211.92 ,1211.92 ,31102500000.00 
2005/1/1,1211.92 ,1217.80 ,1163.75 ,1181.27 ,1181.27 ,31498800000.00 
2005/2/1,1181.27 ,1212.44 ,1180.95 ,1203.60 ,1203.60 ,29297410000.00 
2005/3/1,1203.60 ,1229.11 ,1163.69 ,1180.59 ,1180.59 ,39014150000.00 
2005/4/1,1180.59 ,1191.88 ,1136.15 ,1156.85 ,1156.85 ,43424270000.00 
